adjclose,close,date,formatted_date,high,low,open,volume
28036.220703125,28036.220703125,1574087400,2019-11-18,28040.970703125,27969.240234375,27993.220703125,3436690000
27934.01953125,27934.01953125,1574173800,2019-11-19,28090.2109375,27894.51953125,28079.759765625,3590070000
27821.08984375,27821.08984375,1574260200,2019-11-20,27897.279296875,27675.279296875,27879.55078125,4034890000
27766.2890625,27766.2890625,1574346600,2019-11-21,27828.330078125,27708.33984375,27820.279296875,3720560000
27875.619140625,27875.619140625,1574433000,2019-11-22,27898.4609375,27773.98046875,27831.23046875,3226780000
28066.470703125,28066.470703125,1574692200,2019-11-25,28068.689453125,27917.76953125,27917.76953125,3511530000
28121.6796875,28121.6796875,1574778600,2019-11-26,28146.01953125,28042.2109375,28080.75,4595590000
28164.0,28164.0,1574865000,2019-11-27,28174.970703125,28075.23046875,28156.470703125,3033090000
28051.41015625,28051.41015625,1575037800,2019-11-29,28119.509765625,28042.529296875,28103.16015625,1743020000
27783.0390625,27783.0390625,1575297000,2019-12-02,28109.83984375,27782.349609375,28109.740234375,3268740000
27502.810546875,27502.810546875,1575383400,2019-12-03,27524.740234375,27325.130859375,27501.98046875,3653390000
27649.779296875,27649.779296875,1575469800,2019-12-04,27727.44921875,27612.080078125,27634.630859375,3695030000
27677.7890625,27677.7890625,1575556200,2019-12-05,27745.19921875,27562.80078125,27736.05078125,3355750000
28015.060546875,28015.060546875,1575642600,2019-12-06,28035.849609375,27839.6796875,27839.6796875,3479480000
27909.599609375,27909.599609375,1575901800,2019-12-09,28010.419921875,27906.140625,27987.05078125,3345990000
27881.720703125,27881.720703125,1575988200,2019-12-10,27949.01953125,27804.0,27900.650390625,3343790000
27911.30078125,27911.30078125,1576074600,2019-12-11,27925.5,27801.80078125,27867.310546875,3252540000
28132.05078125,28132.05078125,1576161000,2019-12-12,28224.94921875,27859.869140625,27898.33984375,3990690000
28135.380859375,28135.380859375,1576247400,2019-12-13,28290.73046875,28028.3203125,28123.640625,3736870000
28235.890625,28235.890625,1576506600,2019-12-16,28337.490234375,28191.669921875,28191.669921875,4051790000
28267.16015625,28267.16015625,1576593000,2019-12-17,28328.630859375,28220.560546875,28221.75,3837540000
28239.279296875,28239.279296875,1576679400,2019-12-18,28323.25,28239.279296875,28291.439453125,4014080000
28376.9609375,28376.9609375,1576765800,2019-12-19,28381.48046875,28278.240234375,28278.310546875,3720450000
28455.08984375,28455.08984375,1576852200,2019-12-20,28608.640625,28445.599609375,28608.640625,6454270000
28551.529296875,28551.529296875,1577111400,2019-12-23,28582.490234375,28491.779296875,28491.779296875,3060610000
28515.44921875,28515.44921875,1577197800,2019-12-24,28576.80078125,28503.2109375,28572.5703125,1296540000
28621.390625,28621.390625,1577370600,2019-12-26,28624.099609375,28535.150390625,28539.4609375,2160680000
28645.259765625,28645.259765625,1577457000,2019-12-27,28701.66015625,28608.98046875,28675.33984375,2428670000
28462.140625,28462.140625,1577716200,2019-12-30,28664.689453125,28428.98046875,28654.759765625,3013290000
28538.439453125,28538.439453125,1577802600,2019-12-31,28547.349609375,28376.490234375,28414.640625,2893810000
28868.80078125,28868.80078125,1577975400,2020-01-02,28872.80078125,28627.76953125,28638.970703125,3458250000
28634.880859375,28634.880859375,1578061800,2020-01-03,28716.310546875,28500.359375,28553.330078125,3461290000
28703.380859375,28703.380859375,1578321000,2020-01-06,28708.01953125,28418.630859375,28465.5,3674070000
28583.6796875,28583.6796875,1578407400,2020-01-07,28685.5,28565.279296875,28639.1796875,3420380000
28745.08984375,28745.08984375,1578493800,2020-01-08,28866.1796875,28522.509765625,28556.140625,3720890000
28956.900390625,28956.900390625,1578580200,2020-01-09,28988.009765625,28844.310546875,28851.970703125,3638390000
28823.76953125,28823.76953125,1578666600,2020-01-10,29009.0703125,28789.099609375,28977.51953125,3212970000
28907.05078125,28907.05078125,1578925800,2020-01-13,28909.91015625,28819.4296875,28869.009765625,3456380000
28939.669921875,28939.669921875,1579012200,2020-01-14,29054.16015625,28872.26953125,28895.5,3665130000
29030.220703125,29030.220703125,1579098600,2020-01-15,29127.58984375,28897.349609375,28901.80078125,3716840000
29297.640625,29297.640625,1579185000,2020-01-16,29300.3203125,29131.94921875,29131.94921875,3535080000
29348.099609375,29348.099609375,1579271400,2020-01-17,29373.619140625,29289.91015625,29313.310546875,3698170000
29196.0390625,29196.0390625,1579617000,2020-01-21,29341.2109375,29146.470703125,29269.05078125,4105340000
29186.26953125,29186.26953125,1579703400,2020-01-22,29320.19921875,29172.259765625,29263.630859375,3619850000
29160.08984375,29160.08984375,1579789800,2020-01-23,29190.470703125,28966.98046875,29111.01953125,3764860000
28989.73046875,28989.73046875,1579876200,2020-01-24,29288.7890625,28843.310546875,29230.390625,3707130000
28535.80078125,28535.80078125,1580135400,2020-01-27,28671.7890625,28440.470703125,28542.490234375,3823100000
28722.849609375,28722.849609375,1580221800,2020-01-28,28823.23046875,28575.75,28594.279296875,3526720000
28734.44921875,28734.44921875,1580308200,2020-01-29,28944.240234375,28728.189453125,28820.529296875,3584500000
28859.439453125,28859.439453125,1580394600,2020-01-30,28879.7109375,28489.759765625,28640.16015625,3787250000
28256.029296875,28256.029296875,1580481000,2020-01-31,28813.0390625,28169.529296875,28813.0390625,4527830000
28399.810546875,28399.810546875,1580740200,2020-02-03,28630.390625,28319.650390625,28319.650390625,3757910000
28807.630859375,28807.630859375,1580826600,2020-02-04,28904.880859375,28696.740234375,28696.740234375,3995320000
29290.849609375,29290.849609375,1580913000,2020-02-05,29308.890625,29000.849609375,29048.73046875,4117730000
29379.76953125,29379.76953125,1580999400,2020-02-06,29408.05078125,29246.9296875,29388.580078125,3868370000
29102.509765625,29102.509765625,1581085800,2020-02-07,29286.919921875,29056.98046875,29286.919921875,3730650000
29276.8203125,29276.8203125,1581345000,2020-02-10,29278.0703125,28995.66015625,28995.66015625,3450350000
29276.33984375,29276.33984375,1581431400,2020-02-11,29415.390625,29210.470703125,29390.7109375,3760550000
29551.419921875,29551.419921875,1581517800,2020-02-12,29568.5703125,29406.75,29406.75,3926380000
29423.310546875,29423.310546875,1581604200,2020-02-13,29535.400390625,29345.9296875,29436.029296875,3498240000
29398.080078125,29398.080078125,1581690600,2020-02-14,29463.0390625,29283.1796875,29440.470703125,3398040000
29232.189453125,29232.189453125,1582036200,2020-02-18,29330.16015625,29116.810546875,29282.779296875,3746720000
29348.029296875,29348.029296875,1582122600,2020-02-19,29409.08984375,29274.380859375,29312.69921875,3600150000
29219.98046875,29219.98046875,1582209000,2020-02-20,29368.44921875,28959.650390625,29296.25,4007320000
28992.41015625,28992.41015625,1582295400,2020-02-21,29146.529296875,28892.69921875,29146.529296875,3899270000
27960.80078125,27960.80078125,1582554600,2020-02-24,28402.9296875,27912.439453125,28402.9296875,4842960000
27081.359375,27081.359375,1582641000,2020-02-25,28149.19921875,26997.619140625,28037.650390625,5591510000
26957.58984375,26957.58984375,1582727400,2020-02-26,27542.779296875,26890.970703125,27159.4609375,5478110000
25766.640625,25766.640625,1582813800,2020-02-27,26775.310546875,25752.8203125,26526.0,66498130000
25409.359375,25409.359375,1582900200,2020-02-28,25494.240234375,24681.009765625,25270.830078125,8563850000
26703.3203125,26703.3203125,1583159400,2020-03-02,26706.169921875,25391.9609375,25590.509765625,6376400000
25917.41015625,25917.41015625,1583245800,2020-03-03,27084.58984375,25706.279296875,26762.470703125,6355940000
27090.859375,27090.859375,1583332200,2020-03-04,27102.33984375,26286.310546875,26383.6796875,5035480000
26121.279296875,26121.279296875,1583418600,2020-03-05,26671.919921875,25943.330078125,26671.919921875,5575550000
25864.779296875,25864.779296875,1583505000,2020-03-06,25994.380859375,25226.619140625,25457.2109375,6552140000
23851.01953125,23851.01953125,1583760600,2020-03-09,24992.359375,23706.0703125,24992.359375,8423050000
25018.16015625,25018.16015625,1583847000,2020-03-10,25020.990234375,23690.33984375,24453.0,7635960000
23553.220703125,23553.220703125,1583933400,2020-03-11,24604.630859375,23328.3203125,24604.630859375,7374110000
21200.619140625,21200.619140625,1584019800,2020-03-12,22837.94921875,21154.4609375,22184.7109375,8829380000
23185.619140625,23185.619140625,1584106200,2020-03-13,23189.759765625,21285.369140625,21973.8203125,8258670000
20188.51953125,20188.51953125,1584365400,2020-03-16,21768.279296875,20116.4609375,20917.529296875,7781540000
21237.380859375,21237.380859375,1584451800,2020-03-17,21379.349609375,19882.259765625,20487.05078125,8358500000
19898.919921875,19898.919921875,1584538200,2020-03-18,20489.330078125,18917.4609375,20188.689453125,8755780000
20087.189453125,20087.189453125,1584624600,2020-03-19,20442.630859375,19177.130859375,19830.009765625,7946710000
19173.98046875,19173.98046875,1584711000,2020-03-20,20531.259765625,19094.26953125,20253.150390625,9044690000
18591.9296875,18591.9296875,1584970200,2020-03-23,19121.009765625,18213.650390625,19028.359375,7402180000
20704.91015625,20704.91015625,1585056600,2020-03-24,20737.69921875,19649.25,19722.189453125,7547350000
21200.55078125,21200.55078125,1585143000,2020-03-25,22019.9296875,20538.33984375,21050.33984375,8285670000
22552.169921875,22552.169921875,1585229400,2020-03-26,22595.060546875,21427.099609375,21468.380859375,7753160000
21636.779296875,21636.779296875,1585315800,2020-03-27,22327.5703125,21469.26953125,21898.470703125,6194330000
22327.48046875,22327.48046875,1585575000,2020-03-30,22378.08984375,21522.080078125,21678.220703125,5746220000
21917.16015625,21917.16015625,1585661400,2020-03-31,22480.369140625,21852.080078125,22208.419921875,6568290000
20943.509765625,20943.509765625,1585747800,2020-04-01,21487.240234375,20784.4296875,21227.380859375,5947900000
21413.439453125,21413.439453125,1585834200,2020-04-02,21477.76953125,20735.01953125,20819.4609375,6454990000
21052.529296875,21052.529296875,1585920600,2020-04-03,21447.810546875,20863.08984375,21285.9296875,6087190000
22679.990234375,22679.990234375,1586179800,2020-04-06,22783.44921875,21693.630859375,21693.630859375,6391860000
22653.859375,22653.859375,1586266200,2020-04-07,23617.240234375,22634.44921875,23537.439453125,7040720000
23433.5703125,23433.5703125,1586352600,2020-04-08,23513.400390625,22682.990234375,22893.470703125,5856370000
23719.369140625,23719.369140625,1586439000,2020-04-09,24008.990234375,23504.08984375,23690.66015625,7880140000
23390.76953125,23390.76953125,1586784600,2020-04-13,23698.9296875,23095.349609375,23698.9296875,5274310000
23949.759765625,23949.759765625,1586871000,2020-04-14,24040.580078125,23683.439453125,23690.5703125,5567400000
23504.349609375,23504.349609375,1586957400,2020-04-15,23649.720703125,23233.3203125,23600.720703125,5203390000
23537.6796875,23537.6796875,1587043800,2020-04-16,23598.080078125,23211.380859375,23543.66015625,5179990000
24242.490234375,24242.490234375,1587130200,2020-04-17,24264.2109375,23817.150390625,23817.150390625,5792140000
